"Project ID";"8"
"Project";"AI Hub"
"Run ID";"87"
"Run";"25.38.0-aihub UAT"
"Exported at";"2025-09-18T07:28:40.484Z"
"Closed";"No"
"Created at";"2025-09-16T01:16:19.688Z"
"Created by";"Cody Boggs"
"Forecast";"16287.496"
"Milestone";"release-25.38.0-aihub"
"Started";"Yes"
"Started at";"2025-09-16T07:36:49.251Z"
"State";"In progress"
"Untested";"391";"100%"
"Passed";"0";"0%"
"Failed";"0";"0%"
"Retest";"0";"0%"
"Blocked";"0";"0%"
"Skipped";"0";"0%"

"Case ID";"Test ID";"Test";"Result ID";"Assigned to";"Automation";"Comment";"Created at";"Created by";"Deleted";"Deleted at";"Deleted by";"Description";"Elapsed";"Estimate";"Expected";"Folder";"Forecast";"Issues";"Issues (case)";"Priority";"State";"Status";"Steps (Expected)";"Steps (Note)";"Steps (Status)";"Steps (Step)";"Tags";"Template";"Updated at";"Updated by"
"3230";"56699";"Test error scenarios with digitisation";"";"";"No";"";"";"";"";"";"";"<p><strong>Scenario #1</strong></p><ol><li>Create a new conversation</li><li>Upload a corrupted file</li></ol><p><strong>Scenario #2</strong></p><ol><li>Upload the same corrupted file again</li></ol><p><strong>Scenario #3</strong></p><ol><li>Upload a set of documents (5) and cancel the flow from backend using flow dashboard</li></ol><p><strong>Scenario #3</strong></p><ol><li>Upload a folder with set of valid and invalid files (corrupted file)</li></ol>";"";"";"<p><strong>Scenario #1:</strong></p><p> In the front-end, we should see below control</p><ol><li>On the bottom left, a error control with the failed files</li></ol><p><strong>Scenario #2:</strong></p><p> In the front-end, we should see below control</p><ol><li>On the bottom left, a error control with the failed files</li><li>We should not get ""file already exists error"", since the failed files should be cleaned up the post reader tasks</li></ol><p><strong>Scenario #3:</strong></p><p> In the front-end, we should see below control</p><ol><li>On the bottom left, a error control with the failed files </li></ol><p><strong>Scenario #4:</strong></p><p> In the front-end, we should see option to ""Add Files""</p><ol><li>On the bottom left, Add Files should be enabled</li></ol><p><strong>Only the corrupted file should fail, other files should go through</strong></p>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3382";"56749";"Test redigitise progress";"";"";"No";"";"";"";"";"";"";"<p>While redigitise is triggered, progress control should be shown at the bottom to show the progress.</p>";"";"";"<p>End user should see the files that are getting processed at the bottom left of the screen</p>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3397";"56754";"Converse File Uploads";"";"";"No";"";"";"";"";"";"";"<ol><li>Upload a file. When the upload is in progress - </li></ol>";"";"";"<ol><li>It should show the status indicator for uploading and digitization</li><li>It should not allow new files to be uploaded</li><li>It should allow switching to a different project if upload has finished but digitization is pending. The new project should behave as expected - no upload status, file uploads enabled etc.</li></ol>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3445";"56783";"Test code files with Converse, Build and App run";"";"";"No";"";"";"";"";"";"";"<ol><li>Upload code files to Converse, Build and App (Build) </li><li>Check whether digitisation is going through and able to send prompts, run apps<br /><br />Build and Converse apps will support files with following extensions 'cmd', 'bat', 'zsh', 'bashc', 'c', 'cs', 'chtml', 'cpp', 'c++', 'cc', 'hpp', 'h++', 'css', 'pyx', 'pxi', 'cy', 'cmake', 'dockerfile', 'go', 'java', 'py', 'js', 'ts', 'json', 'mkfile', 'php', 'plsql', 'perl', 'r', 'rd', 'ruby', 'rs', 'xml', 'yml',</li></ol>";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3512";"56833";"Advance OCR works in Converse";"";"";"No";"";"";"";"";"";"";"<ul><li>Able to save OCR settings with an empty project</li><li>Able to digitize without previewing docs</li><li>Able to preview up to 3 docs</li><li>Able to preview other docs</li><li>Applying different digitization settings changes OCR output<ul><li>Use Google vs Microsoft OCR</li></ul></li></ul>";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3590";"56869";"Test progress bar with file uploads in Converse";"";"";"No";"";"";"";"";"";"";"<p>While uploading the files to the Converse project, user should see a progress bar showing the % of completion.</p><p> </p><p>10% - while file upload is complete</p><p>80% - while digitisation is complete</p><p>100% when indexing is complete</p>";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3624";"56882";"Validate native excel processing with Converse, Build and App";"";"";"No";"";"";"";"";"";"";"<p><strong>Both community and commercial</strong><br /><strong>Converse:</strong></p><ul><li>Enable native excel processing from project settings</li><li>Upload the excel files</li><li>Ask queries against the excel files</li></ul><p><strong>Build:</strong></p><ul><li>Enable native excel processing and tables from project settings</li><li>Upload the excel files</li><li>Add text, list, table and document reasoning fields</li></ul><p><strong>App:</strong></p><ul><li>Create app using the above build project</li><li>Upload the excel files and run app</li></ul>";"";"";"<p><strong>Converse:</strong></p><ul><li>Excel files should be natively displayed in the file panel</li><li>Users should be able to toggle between different files and content should be refreshed</li><li>For description query - what is the document about?<ul><li>User should see the description about the document</li></ul></li><li>For table query - Extract first 3 columns from the table?<ul><li>User should see the data in the tabular format (TDF should be invoked)</li></ul></li></ul><p><strong>Build:</strong></p><ul><li>Excel files should be natively displayed in the file panel</li><li>Users should be able to toggle between different files and content should be refreshed</li><li>For text, list, table and document reasoning fields valid output should be seen</li></ul><p><strong>App:</strong></p><ul><li>Excel files should be natively displayed in the human review screen</li><li>Users should be able to toggle between different files and content should be refreshed</li><li>For text, list, table and document reasoning fields valid output should be seen</li></ul>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3627";"56884";"Chat Feedback - user can share feedback";"";"";"No";"";"";"";"";"";"";"<p>Send a message and test - </p><p>User is able to send a feedback with any option and description which should persist on reload</p>";"";"";"<p>It should correctly send the feedback request without any errors in network call, and persist it on reload.</p>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3630";"56887";"Validate the memory feature with Converse";"";"";"No";"";"";"";"";"";"";"<p>User should be able to ask queries referencing the previous queries and responses</p>";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3631";"56888";"Delete conversation with chatbot";"";"";"No";"";"";"";"";"";"";"<p>Try deleting conversation with chatbot</p>";"";"";"<p>User should not be able to delete conversation with active chatbot</p>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
